houseCode,houseRegion,houseName,houseAllPrice,houseType,houseSize,houseDirection,houseStatus,houseFloor,houseAddress,houseDistrict,houseElevator,Latitude,Longitude,type,use,houseYear,houseUnitPrice
1.03119E+11,雨山区,钢城花园一村,138,3室2厅1厨1卫,137.91,南,其他,低楼层 (共6层),,安民,无,118.502386,31.67089,商品房,普通住宅,2022,10007
1.0312E+11,雨山区,马纺新村,42,2室1厅1厨1卫,61,南,其他,中楼层 (共5层),,雨山,无,118.501746,31.679786,商品房,普通住宅,2022,6885
1.03119E+11,雨山区,雨顺佳园,91,3室2厅1厨1卫,103.8,南,毛坯,高楼层 (共18层),,佳山,有,118.542195,31.668187,商品房,普通住宅,2022,8767
1.03121E+11,雨山区,江南御花园,105,2室2厅1厨1卫,99.42,南,简装,中楼层 (共11层),,佳山,有,118.533904,31.660073,商品房,普通住宅,2022,10561
1.0312E+11,雨山区,雨韵阁,95,3室1厅1厨1卫,98.8,南,精装,低楼层 (共18层),,佳山,有,118.540775,31.664852,商品房,普通住宅,2022,9615
1.03119E+11,雨山区,雨顺佳园,91,3室2厅1厨2卫,63.6,南,精装,高楼层 (共18层),,佳山,有,118.542195,31.668187,商品房,普通住宅,2022,14308
1.03116E+11,花山区,盛世华府,136,3室2厅1厨1卫,102.29,南,简装,高楼层 (共31层),,桃园,有,118.518693,31.678244,商品房,普通住宅,2021,13296
1.0312E+11,花山区,汇成上东,159,3室2厅1厨1卫,115.09,南,精装,中楼层 (共6层),,解放路,无,118.533196,31.70379,商品房,普通住宅,2022,13815
1.0312E+11,雨山区,钢城花园一村,122,3室2厅1厨1卫,117.58,南,精装,低楼层 (共11层),,安民,无,118.502386,31.67089,商品房,普通住宅,2022,10376
1.03115E+11,花山区,金瑞新城四村,75,3室2厅1厨2卫,135.72,南,简装,低楼层 (共6层),,江东,无,118.53001,31.731431,商品房,普通住宅,2021,5526
1.0312E+11,当涂县,五星佳苑,75,3室2厅1厨1卫,106.24,南 北,精装,中楼层 (共6层),,当涂县,暂无数据,118.5221539,31.56180546,商品房,普通住宅,2022,7059
1.0312E+11,花山区,圳秀国际?金湖湾,128,3室2厅1厨1卫,108.22,南,毛坯,低楼层 (共11层),,霍里,有,118.56937,31.69924,商品房,普通住宅,2022,11828
