2022-05-29 15:19:27.611 | INFO     | crawler.crawler:run:210 - 开始采集第1页数据！
2022-05-29 15:19:37.204 | INFO     | crawler.crawler:get_page_info:196 - 采集1页共30个房子，当前第1个房子的数据！url https://mas.lianjia.com/ershoufang/103120606938.html
2022-05-29 15:19:42.874 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 15:19:42.874 | INFO     | crawler.crawler:get_page_info:196 - 采集1页共30个房子，当前第2个房子的数据！url https://mas.lianjia.com/ershoufang/103120539941.html
2022-05-29 15:19:48.914 | ERROR    | crawler.crawler:get_house_detail:173 - 采集异常 HTTPConnectionPool(host='127.0.0.1', port=63385): Max retries exceeded with url: /session/e87ce7780c2db29a4b6c936bf350f4df/url (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000000006A1C9E8>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。',))，等待一段时间
2022-05-29 15:19:48.916 | INFO     | crawler.crawler:get_page_info:196 - 采集1页共30个房子，当前第3个房子的数据！url https://mas.lianjia.com/ershoufang/103120502641.html
2022-05-29 15:19:54.929 | ERROR    | crawler.crawler:get_house_detail:173 - 采集异常 HTTPConnectionPool(host='127.0.0.1', port=63385): Max retries exceeded with url: /session/e87ce7780c2db29a4b6c936bf350f4df/url (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000000006A1CF60>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。',))，等待一段时间
2022-05-29 15:19:54.930 | INFO     | crawler.crawler:get_page_info:196 - 采集1页共30个房子，当前第4个房子的数据！url https://mas.lianjia.com/ershoufang/103120243163.html
2022-05-29 15:20:00.946 | ERROR    | crawler.crawler:get_house_detail:173 - 采集异常 HTTPConnectionPool(host='127.0.0.1', port=63385): Max retries exceeded with url: /session/e87ce7780c2db29a4b6c936bf350f4df/url (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000000006772828>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。',))，等待一段时间
2022-05-29 15:20:00.947 | INFO     | crawler.crawler:get_page_info:196 - 采集1页共30个房子，当前第5个房子的数据！url https://mas.lianjia.com/ershoufang/103120327539.html
2022-05-29 15:20:06.970 | ERROR    | crawler.crawler:get_house_detail:173 - 采集异常 HTTPConnectionPool(host='127.0.0.1', port=63385): Max retries exceeded with url: /session/e87ce7780c2db29a4b6c936bf350f4df/url (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000000006A1C9B0>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。',))，等待一段时间
2022-05-29 15:20:06.971 | INFO     | crawler.crawler:get_page_info:196 - 采集1页共30个房子，当前第6个房子的数据！url https://mas.lianjia.com/ershoufang/103120334686.html
2022-05-29 15:20:13.025 | ERROR    | crawler.crawler:get_house_detail:173 - 采集异常 HTTPConnectionPool(host='127.0.0.1', port=63385): Max retries exceeded with url: /session/e87ce7780c2db29a4b6c936bf350f4df/url (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000000006A51E48>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。',))，等待一段时间
2022-05-29 15:20:13.026 | INFO     | crawler.crawler:get_page_info:196 - 采集1页共30个房子，当前第7个房子的数据！url https://mas.lianjia.com/ershoufang/103120571876.html
