2022-05-29 14:45:52.163 | INFO     | crawler.crawler:run:210 - 开始采集第15页数据！
2022-05-29 14:45:52.164 | INFO     | crawler.crawler:start:238 - 启动采集成功
2022-05-29 14:46:01.463 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第1个房子的数据！url https://mas.lianjia.com/ershoufang/103119349302.html
2022-05-29 14:46:06.330 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:46:06.332 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第2个房子的数据！url https://mas.lianjia.com/ershoufang/103120005431.html
2022-05-29 14:46:11.366 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:46:11.386 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第3个房子的数据！url https://mas.lianjia.com/ershoufang/103117442627.html
2022-05-29 14:46:16.121 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:46:16.136 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第4个房子的数据！url https://mas.lianjia.com/ershoufang/103120177114.html
2022-05-29 14:46:20.662 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:46:20.664 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第5个房子的数据！url https://mas.lianjia.com/ershoufang/103119429305.html
2022-05-29 14:46:25.331 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:46:25.337 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第6个房子的数据！url https://mas.lianjia.com/ershoufang/103116839643.html
2022-05-29 14:46:29.642 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:46:29.644 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第7个房子的数据！url https://mas.lianjia.com/ershoufang/103119072224.html
2022-05-29 14:46:33.866 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
