2022-05-24 14:53:55.215 | INFO     | crawler.crawler:run:210 - 开始采集第15页数据！
2022-05-24 14:53:55.216 | INFO     | crawler.crawler:start:238 - 启动采集成功
2022-05-24 14:54:05.150 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第1个房子的数据！url https://mas.lianjia.com/ershoufang/103116009357.html
2022-05-24 14:54:13.413 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-24 14:54:13.416 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第2个房子的数据！url https://mas.lianjia.com/ershoufang/103118833622.html
2022-05-24 14:54:18.115 | ERROR    | crawler.crawler:get_house_detail:173 - 采集异常 list index out of range，等待一段时间
2022-05-24 14:54:18.130 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第3个房子的数据！url https://mas.lianjia.com/ershoufang/103115871306.html
2022-05-24 14:54:24.488 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-24 14:54:24.490 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第4个房子的数据！url https://mas.lianjia.com/ershoufang/103119593330.html
2022-05-24 14:57:49.148 | ERROR    | crawler.crawler:get_house_detail:173 - 采集异常 Message: invalid session id
，等待一段时间
2022-05-24 14:57:49.148 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第5个房子的数据！url https://mas.lianjia.com/ershoufang/103119420773.html
2022-05-24 14:57:55.151 | ERROR    | crawler.crawler:get_house_detail:173 - 采集异常 HTTPConnectionPool(host='127.0.0.1', port=52625): Max retries exceeded with url: /session/51215bf18a00e7f3e41eb4a2511dffb1/url (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000000006BED320>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。',))，等待一段时间
2022-05-24 14:57:55.151 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第6个房子的数据！url https://mas.lianjia.com/ershoufang/103119982860.html
2022-05-24 14:58:01.174 | ERROR    | crawler.crawler:get_house_detail:173 - 采集异常 HTTPConnectionPool(host='127.0.0.1', port=52625): Max retries exceeded with url: /session/51215bf18a00e7f3e41eb4a2511dffb1/url (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000000006BF6160>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。',))，等待一段时间
